level;speciesKey;lat;lon;HFP09;Elevation;continents;IUCNonly;broad;broad;broad;broad;broad;broad;broad;broad;broad;broad;detail;detail;detail;detail;detail;detail;detail;detail;detail;detail
Acianthera capillaris;2839569;9.55335;-68.45015000000001;18.063439369201674;623.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;EN;LC;LC;LC;LC;EN
Acianthera chrysantha;2839884;17.2675;-97.6799;34.0;2067.0;{'NORTHERN AMERICA'};True;Not Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;CR;CR;EN;EN;LC;LC;LC;LC;LC
Acianthera ciliata;5951596;0.89;-70.13;1.0;210.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;EN;EN;EN;EN;EN
Acianthera circumplexa;2839802;15.789576923076924;-92.36643076923077;9.287971093104435;1551.0;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Acianthera cogniauxiana;2839516;10.7887;-84.77365;9.1717289686203;1307.25;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera cordatifolia;2839940;19.58;-70.75;10.3186836242676;1187.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;EN;LC;LC;LC;LC;LC
Acianthera crinita;2839606;-26.8042;-48.9433;5.2512674331665;381.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;EN;EN;EN;EN;EN
Acianthera cryptantha;2839506;-27.64056;-50.66402;15.810347652435302;1016.2;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera cryptophoranthoides;2840079;-22.69;-44.7389;5.41507577896118;1122.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;LC;LC;LC;LC;EN
Acianthera decipiens;2839889;8.6223;-79.640825;16.062507569789886;1100.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera decurrens;2839799;5.9833;-76.1167;5.25000715255737;2739.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;CR;CR;CR;CR;CR;EN;NT;LC;EN;LC
Acianthera discophylla;2839650;-0.908325;-62.107625;4.8241820335388175;78.75;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera duartei;2839600;-20.1114;-43.4817;4.26244497299194;1294.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;EXT;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EXT;EN;LC;LC;EN;EN
Acianthera dutrae;2839534;-27.55;-50.35;21.5572185516357;867.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;EXT;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;EN;EN;EN;EXT;LC;LC;LC;LC;LC
Acianthera ellipsophylla;2839538;9.215;-82.20835;3.00055074691772;40.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Acianthera erebatensis;2839495;7.8;-71.6667;6.25003290176392;451.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;LC;LC;LC;LC;LC;EN;EN;EN
Acianthera erosa;2840054;18.1167;-71.1333;6.29137229919434;544.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;EN
Acianthera erythrogramma;2839413;-10.388166666666667;-75.14593333333333;1.7528858979543067;476.3333333333333;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;EN;EN;EN;EN;LC;EN;EN;EN;NT;LC
Acianthera exarticulata;2839985;-25.484849999999998;-48.48826666666667;16.19631226857503;600.3333333333334;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera eximia;2839861;16.217;-96.607225;6.197395205497743;1464.5;{'NORTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera fabiobarrosii;2839722;-17.135849999999998;-43.58705;4.0;1069.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;EN;LC;LC;LC;LC;LC
Acianthera fenestrata;2839637;-26.21515;-49.995000000000005;15.388548612594604;981.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;CR;EN
Acianthera fockei;2840103;-4.983923529411764;-59.08708235294118;3.4277290980991144;191.35294117647058;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;VU;EN;EN;LC;LC
Acianthera fornograndensis;2839949;-20.5192;-41.1006;5.25000381469727;1771.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;EN;EN;EN;EN;EN;LC;LC;LC;LC;LC
Acianthera geminicaulina;2839961;3.05965;-78.01425;3.256332397460935;1187.5;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera glanduligera;2839842;-12.75;-39.5333;19.0;217.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;LC;LC;LC;EN;EN;EN;EN
Acianthera glumacea;2839776;-28.05724;-49.16212;28.296276092529297;258.8;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera gracilisepala;2839715;-24.6601;-51.626149999999996;11.74102306365967;855.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;EN;LC
Acianthera heringeri;2839825;-20.6167;-42.0667;6.25865745544434;1007.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;LC;EN;LC;LC;LC;LC;LC
Acianthera herzogii;2839823;-18.12;-63.6;7.41507577896118;1334.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;EN;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera hirsutula;2839625;18.221725;-77.3108;13.297990918159485;600.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;EN;CR
Acianthera hoffmannseggiana;2839561;-20.7667;-42.0333;22.0;640.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;LC;LC;EN;EN;LC;LC;LC;LC;LC
Acianthera hondurensis;2839519;16.155;-90.06;5.15610420703888;107.0;{'NORTHERN AMERICA', 'SOUTHERN AMERICA'};True;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera hygrophila;2839428;-26.58791641791045;-50.12252537313432;14.689567640646182;801.9402985074627;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera hystrix;2840088;-27.55;-50.375;17.27860927581785;853.5;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;EN;LC
Acianthera johannensis;2839942;-21.452214285714287;-44.624585714285715;9.930848019463673;1146.7142857142858;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera johnsonii;2839899;16.9072;-92.0961;31.0;892.0;{'NORTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;EN;EN;EN;EN;EN;LC;LC;LC;LC;EN
Acianthera juxtaposita;2839661;8.7333;-82.25;14.0;1200.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera klotzschiana;2839553;-25.029233333333334;-52.5293;4.660617192586263;656.3333333333334;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;EN;LC;LC;LC;EN
Acianthera leptotifolia;2839936;-22.394750000000002;-45.869375;20.215063095092766;820.75;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera limae;2839726;-20.52195;-43.09887;14.233235824108121;1064.95;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera lojae;2839652;8.7808;-82.9602;24.0;1162.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera luteola;2839540;-25.988895918367344;-49.09835510204081;14.406510250908989;720.6326530612245;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera macropoda;2839497;-27.7619625;-49.139675;20.982819914817803;119.25;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera majakoluckae;3657171;16.5642;-92.5261;17.0;1861.0;{'NORTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;LC;EN;EN;EN;EN;CR;CR;CR;CR;EN
Acianthera malachantha;2839864;-20.3866;-43.55345;7.582462787628175;1022.0;{'SOUTHERN AMERICA'};True;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;Threatened;VU;VU;VU;EN;EN;VU;LC;LC;LC;LC
Acianthera micrantha;2839479;-23.480500000000003;-46.18283333333333;27.786806106567365;939.3333333333334;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;EN;EN;LC;LC;LC;LC;LC;LC;LC
Acianthera miqueliana;2839916;-0.5;-59.26768;1.6012781620025642;104.8;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera modestissima;2839853;-20.07346;-43.91928;19.03264923095704;1359.4;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera murexoidea;2839632;-27.78625;-49.42;7.341044425964364;1056.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;EN;LC;LC;LC;LC;LC;LC;LC
Acianthera nemorosa;2840004;-20.5987875;-41.15135;10.633986204862603;797.5;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera ochreata;2839767;-12.160907407407407;-40.82204888888889;8.913878873542501;961.4074074074074;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera octophrys;2839701;-21.63005;-44.09375;18.625056982040405;914.0;{'SOUTHERN AMERICA'};False;Threatened;Threatened;Threatened;Threatened;Threatened;Not Threatened;Not Threatened;Not Threatened;Threatened;Threatened;LC;LC;LC;EN;EN;LC;LC;LC;LC;LC
Acianthera oligantha;2839443;-26.317780000000003;-48.92299333333334;10.79624309539795;403.0;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera panduripetala;2839904;-27.615475;-48.556925;30.703723907470703;13.75;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
Acianthera pantasmi;2839819;9.612966666666667;-83.60306666666666;13.209849357604966;659.6666666666666;{'SOUTHERN AMERICA'};False;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;Not Threatened;LC;LC;LC;LC;LC;LC;LC;LC;LC;LC
